query	no	token	pos
전주 여행	303	카페	NNG
전주 여행	303	체험	NNG
전주 여행	303	알려	VV+EC
전주 여행	303	맞춤	VV+EC
전주 여행	303	추천	NNG
전주 여행	303	드릴	VX+ETM
전주 여행	303	어요	EF
전주 여행	303	즐거운	VA+ETM
전주 여행	303	바랄	VV+ETM
전주 여행	303	게요	NNB+VCP+EC
전주 여행	304	코스	NNG
전주 여행	304	추천	NNG
전주 여행	304	~!	SY
전주 여행	304	영화제	NNG
전주 여행	304	기간	NNG
전주 여행	304	일정	NNG
전주 여행	304	으로	JKB
전주 여행	304	볼까	EC+VX+EC
전주 여행	304	해서	VV+EC
전주 여행	304	코스	NNG
전주 여행	304	추천	NNG
전주 여행	304	세요	EP+EF
전주 여행	304	어차피	MAG
전주 여행	304	주목적	NNG
전주 여행	304	전주국	NNG
전주 여행	304	영화제	NNG
전주 여행	304	니까	VCP+EC
전주 여행	304	둘러보	VV
전주 여행	304	에요	VCP+EF
전주 여행	304	그냥	MAG
전주 여행	304	알짜배기	NNG
전주 여행	304	추천	NNG
전주 여행	305	주로	MAG
전주 여행	305	커플	NNG
전주 여행	305	려고	EC
전주 여행	305	는데	EC
전주 여행	305	추천	NNG
전주 여행	305	세요	EP+EF
전주 여행	305	숙소	NNG
전주 여행	305	거리	NNG
전주 여행	305	맛집	NNG
전주 여행	305	등등	NNB
전주 여행	305	추천	NNG
전주 여행	305	감사	NNG
전주 여행	305	습니다	EF
전주 여행	305	한옥마을	NNP
전주 여행	305	겁니다	NNB+VCP+EF
전주 여행	305	답변	NNG
전주 여행	305	도움	NNG
전주 여행	305	으면	EC
전주 여행	305	습니다	EF
전주 여행	305	한옥마을	NNP
전주 여행	305	한옥마을	NNP
전주 여행	305	맛집	NNG
전주 여행	305	거리	EC
전주 여행	305	추천	NNG
전주 여행	306	추석	NNG
전주 여행	306	16	SN
전주 여행	306	18	SN
전주 여행	306	려고	EC
전주 여행	306	는데	EC
전주 여행	306	그때	NNG
전주 여행	306	한옥마을	NNP
전주 여행	306	관광지	NNG
전주 여행	306	을까요	EC
전주 여행	306	추석	NNG
전주 여행	306	당일	NNG
전주 여행	306	습니다	EF
전주 여행	306	에도	NNP
전주 여행	306	이벤트	NNG
전주 여행	306	진행	NNG
전주 여행	306	입니다	VCP+EC
전주 여행	306	27	SN
전주 여행	306	10	SN
전주 여행	306	13	SN
전주 여행	306	한국	NNP
전주 여행	306	관광공사	NNP
전주 여행	306	에서	JKB
전주 여행	306	숙박	NNG
전주 여행	306	세일	NNG
전주 여행	306	페스타	NNP
전주 여행	306	이벤트	NNG
전주 여행	306	진행	NNG
전주 여행	306	입니다	VCP+EC
전주 여행	307	연령	NNG
전주 여행	307	렌트카	NNG
전주 여행	307	추천	NNG
전주 여행	307	이번	NNG
전주 여행	307	21	SN
전주 여행	307	으로	JKB
전주 여행	307	19	SN
전주 여행	307	입니다	VCP+EF
전주 여행	307	연령	NNG
전주 여행	307	자동차	NNG
전주 여행	307	추천	NNG
전주 여행	307	부탁	NNG
전주 여행	307	드리	VV
전주 여행	307	습니다	EF
전주 여행	307	그리고	MAJ
전주 여행	307	가격	NNG
전주 여행	307	렌트	NNG
전주 여행	307	어느	MM
전주 여행	307	정도	NNG
전주 여행	307	나올까요	VV+EF
전주 여행	307	에서	JKB
전주 여행	307	21	SN
전주 여행	307	이상	NNG
전주 여행	307	렌트	NNG
전주 여행	307	가능	NNG
전주 여행	307	자동차	NNG
전주 여행	307	찾아보	VV
전주 여행	307	세요	EP+EF
전주 여행	307	가격	NNG
전주 여행	308	포항	NNP
전주 여행	308	에서	JKB
전주 여행	308	포항	NNP
전주 여행	308	까지	JX
전주 여행	308	기차	NNG
전주 여행	308	을까요	EC
전주 여행	308	버스	NNG
전주 여행	308	을까요	EC
전주 여행	308	안녕	NNG
전주 여행	308	세요	EP+EF
전주 여행	308	에서	JKB
전주 여행	308	포항	NNP
전주 여행	308	까지	JX
전주 여행	308	기차	NNG
전주 여행	308	버스	NNG
전주 여행	308	각각	MAG
전주 여행	308	장단점	NNG
전주 여행	308	으므로	EC
전주 여행	308	어떤	MM
전주 여행	308	방법	NNG
전주 여행	308	은지	EC
전주 여행	308	결정	NNG
전주 여행	308	가지	NNBC
전주 여행	308	요소	NNG
전주 여행	308	고려	NNG
전주 여행	308	필요	NNG
전주 여행	308	습니다	EF
전주 여행	309	펜션	NNG
전주 여행	309	한옥	NNG
전주 여행	309	으로	JKB
전주 여행	309	이번	NNG
전주 여행	309	남자	NNG
전주 여행	309	친구	NNG
전주 여행	309	같이	MAG
전주 여행	309	해서	VV+EC
전주 여행	309	얼른	MAG
전주 여행	309	펜션	NNG
전주 여행	309	봐야	VX+EC
전주 여행	309	는데	EC
전주 여행	309	한옥	NNG
전주 여행	309	마을	NNG
전주 여행	309	근처	NNG
전주 여행	309	한옥	NNG
전주 여행	309	느낌	MAG
전주 여행	309	펜션	NNG
전주 여행	309	으로	JKB
전주 여행	309	을까요	EC
전주 여행	309	내부	NNG
전주 여행	309	정감	NNG
전주 여행	309	분위기	NNG
전주 여행	309	아요	EF
전주 여행	309	빠른	VA+ETM
전주 여행	309	답변	NNG
전주 여행	309	부탁	NNG
전주 여행	310	세요	EP+EF
전주 여행	310	한옥마을	NNP
전주 여행	310	유명	XR
전주 여행	310	완산구	NNP
전주 여행	310	으며	EC
전주 여행	310	덕진구	NNP
전주 여행	310	또한	MAJ
전주 여행	310	멋진	VA+ETM
전주 여행	310	추억	NNG
전주 여행	310	가진	VV+ETM
전주 여행	310	장소	NNG
전주 여행	310	많이	MAG
전주 여행	310	습니다	EF
전주 여행	310	완산구	NNP
전주 여행	310	덕진구	NNP
전주 여행	310	대해서	VV+EC
전주 여행	311	뚜벅	MAG
전주 여행	311	엄마	NNG
전주 여행	311	뚜벅	MAG
전주 여행	311	계획	NNG
전주 여행	311	인데	VCP+EC
전주 여행	311	답변	NNG
전주 여행	311	부탁	NNG
전주 여행	311	드려요	VV+EC
전주 여행	311	기차	NNG
전주 여행	311	고속버스	NNG
전주 여행	311	어떤	MM
전주 여행	311	을까요	EC
전주 여행	311	도착	NNG
전주 여행	311	해서	XSV+EC
전주 여행	311	관광	NNG
전주 여행	311	이용	NNG
전주 여행	311	교통수단	NNG
전주 여행	311	어떤	MM
전주 여행	311	을까요	EC
전주 여행	311	숙소	NNG
전주 여행	311	추천	NNG
전주 여행	311	부탁드려요	VV+EF
전주 여행	311	서울	NNP
전주 여행	312	당일치기	NNG
전주 여행	312	어렵	VA
전주 여행	312	네요	EF
전주 여행	312	당일치기	NNG
전주 여행	312	계획	NNG
전주 여행	312	군요	EF
전주 여행	312	에서	JKB
전주 여행	312	한옥마을	NNP
전주 여행	312	까지	JX
전주 여행	312	방법	NNG
전주 여행	312	당일치기	NNG
전주 여행	312	코스	NNG
전주 여행	312	알려	VV+EC
전주 여행	312	드릴게요	VX+EC
전주 여행	312	에서	JKB
전주 여행	312	한옥마을	NNP
전주 여행	312	까지	JX
전주 여행	312	방법	NNG
전주 여행	312	으로	JKB
전주 여행	312	택시	NNG
전주 여행	312	버스	NNG
전주 여행	312	어요	EF
전주 여행	312	에서	JKB
전주 여행	312	한옥마을	NNP
전주 여행	312	까지	JX
전주 여행	312	택시	NNG
전주 여행	313	경비	NNG
전주 여행	313	보통	NNG
전주 여행	313	경비	NNG
전주 여행	313	얼마	NNG
전주 여행	313	정도	NNG
전주 여행	313	드나	VV
전주 여행	313	숙소	NNG
전주 여행	313	13	SN
전주 여행	313	인데	VCP+EC
전주 여행	313	려고	EC
전주 여행	313	비싼	VA+ETM
전주 여행	313	건가요	NNB+VCP+EC
전주 여행	313	질문	NNG
전주 여행	313	도움	NNG
전주 여행	313	답변	NNG
전주 여행	313	바래	VV
전주 여행	313	예산	NNG
전주 여행	313	30	SN
전주 여행	313	내외	NNG
전주 여행	313	숙소	NNG
전주 여행	313	13	SN
전주 여행	313	적당	XR
전주 여행	313	합니다	XSA+EC
전주 여행	314	커플	NNG
전주 여행	314	대해	VV+EC
전주 여행	314	도움	NNG
전주 여행	314	드릴게요	VV+EC
전주 여행	314	남자	NNG
전주 여행	314	친구	NNG
전주 여행	314	이용	NNG
전주 여행	314	할지	XSV+EC
전주 여행	314	KTX	SL
전주 여행	314	이용	NNG
전주 여행	314	할지	XSV+EC
전주 여행	314	대해서	VV+EC
전주 여행	314	여러	MM
전주 여행	314	가지	NNBC
전주 여행	314	요소	NNG
전주 여행	314	고려	NNG
전주 여행	314	셔야	EP+EC
전주 여행	314	합니다	VX+EF
전주 여행	314	만약	MAG
전주 여행	314	교통	NNG
전주 여행	314	체증	NNG
전주 여행	314	예상	NNG
전주 여행	314	날짜	NNG
전주 여행	314	라면	VCP+EC
전주 여행	314	KTX	SL
전주 여행	314	이용	NNG
전주 여행	314	편할	VA+ETM
전주 여행	314	습니다	EF
전주 여행	314	또한	MAJ
전주 여행	314	남자	NNG
전주 여행	314	친구	NNG
전주 여행	315	려는데	EC
전주 여행	315	여행지	NNG
전주 여행	315	맛집	NNG
전주 여행	315	추천	NNG
전주 여행	315	세요	EP+EF
전주 여행	315	보리암	NNP
전주 여행	315	다랭이	NNG
전주 여행	315	독일	NNP
전주 여행	315	마을	NNG
전주 여행	315	한옥마을	NNP
전주 여행	315	두세	MM
전주 여행	315	맛집	NNG
전주 여행	315	빨리	MAG
전주 여행	315	추천	NNG
전주 여행	315	세요	EP+EF
전주 여행	315	라서	EC
전주 여행	315	추천	NNG
전주 여행	315	셔도	EP+EC
전주 여행	315	됩니다	VV+EF
전주 여행	315	맛집	NNG
전주 여행	316	추천	NNG
전주 여행	316	맛집	NNG
전주 여행	316	국내	NNG
전주 여행	316	주달	NNG
전주 여행	316	티비	NNG
전주 여행	316	코스	NNG
전주 여행	316	여수	NNG
전주 여행	316	여수	NNG
전주 여행	316	제주	NNP
전주 여행	316	제주도	NNP
전주 여행	316	전문	NNG
전주 여행	316	언서	NNG
전주 여행	316	주달	NNG
전주 여행	316	봉이	NNG
전주 여행	316	입니다	VCP+EF
전주 여행	316	코스	NNG
전주 여행	316	한옥	NNG
전주 여행	316	마을	NNG
전주 여행	316	에서부터	JKB
전주 여행	317	코스	NNG
전주 여행	317	질문	NNG
전주 여행	317	코스	NNG
전주 여행	317	전라도	NNP
전주 여행	317	어서	EC
전주 여행	317	맛집	NNG
전주 여행	317	국내	NNG
전주 여행	317	주달	NNG
전주 여행	317	티비	NNG
전주 여행	317	코스	NNG
전주 여행	317	여수	NNG
전주 여행	317	여수	NNG
전주 여행	317	제주	NNP
전주 여행	317	제주도	NNP
전주 여행	317	전문	NNG
전주 여행	317	언서	NNG
전주 여행	318	간다면	VV+EC
전주 여행	318	비용	NNG
전주 여행	318	얼마	NNG
전주 여행	318	나올까요	VV+EF
전주 여행	318	비용	NNG
전주 여행	318	여러	MM
전주 여행	318	요소	NNG
전주 여행	318	따라	VV+EC
전주 여행	318	달라지	VV
전주 여행	318	지만	EC
전주 여행	318	일반	NNG
전주 여행	318	으로	JKB
전주 여행	318	다음	NNG
전주 여행	318	항목	NNG
전주 여행	318	포함	NNG
전주 여행	318	됩니다	XSV+EC
전주 여행	318	교통비	NNG
전주 여행	318	까지	JX
전주 여행	318	이동	NNG
전주 여행	318	위한	VV+ETM
전주 여행	318	교통	NNG
전주 여행	318	비용	NNG
전주 여행	318	입니다	VCP+EF
전주 여행	319	코스	NNG
전주 여행	319	맛집	NNG
전주 여행	319	국내	NNG
전주 여행	319	주달	NNG
전주 여행	319	티비	NNG
전주 여행	319	코스	NNG
전주 여행	319	여수	NNG
전주 여행	319	여수	NNG
전주 여행	319	제주	NNP
전주 여행	319	제주도	NNP
전주 여행	319	전문	NNG
전주 여행	319	언서	NNG
전주 여행	319	주달	NNG
전주 여행	319	봉이	NNG
전주 여행	319	입니다	VCP+EF
전주 여행	319	코스	NNG
전주 여행	319	한옥	NNG
전주 여행	319	마을	NNG
전주 여행	319	에서부터	JKB
전주 여행	319	시작	NNG
전주 여행	320	당일치기	NNG
전주 여행	320	혼자	NNG
전주 여행	320	코스	NNG
전주 여행	320	추천	NNG
전주 여행	320	박물관	NNG
전주 여행	320	미술관	NNG
전주 여행	320	지역	NNG
전주 여행	320	공간	NNG
전주 여행	320	스토리	NNG
전주 여행	320	안내	NNG
전주 여행	320	해설	NNG
전주 여행	320	문화	NNG
전주 여행	320	코스	NNG
전주 여행	320	방지	NNG
전주 여행	320	위해	VV+EC
전주 여행	320	예약금	NNG
전주 여행	320	결제	NNG
전주 여행	320	현장	NNG
전주 여행	320	에서	JKB
전주 여행	320	상당	NNG
전주 여행	320	음료	NNG
전주 여행	320	기프	NNP
전주 여행	320	으로	JKB
전주 여행	320	환급	NNG
전주 여행	320	선착순	NNG
전주 여행	320	마감	NNG
전주 여행	320	계획	NNG
전주 여행	320	으신	EP+ETM
전주 여행	321	필요	NNG
전주 여행	321	가요	NNG
전주 여행	321	안녕	NNG
전주 여행	321	세요	EP+EF
전주 여행	321	계획	NNG
전주 여행	321	입니다	VCP+EF
전주 여행	321	서울	NNP
전주 여행	321	에서	JKB
전주 여행	321	까지	JX
전주 여행	321	기차	NNG
전주 여행	321	건데	NNB+VCP+EC
전주 여행	321	에서	JKB
전주 여행	321	렌트	NNG
전주 여행	321	해야	VV+EC
전주 여행	321	할지	VX+EC
전주 여행	321	궁금	XR
전주 여행	321	합니다	XSA+EF
전주 여행	321	참고	NNG
전주 여행	321	한옥마을	NNP
전주 여행	321	포함	NNG
전주 여행	321	해서	XSV+EC
전주 여행	321	유명	NNG
전주 여행	321	관광지	NNG
전주 여행	321	돌아볼	VV+ETM
전주 여행	321	계획	NNG
전주 여행	321	입니다	VCP+EF
전주 여행	321	맛집	NNG
전주 여행	321	국내	NNG
전주 여행	322	맛집	NNG
전주 여행	322	국내	NNG
전주 여행	322	주달	NNG
전주 여행	322	티비	NNG
전주 여행	322	코스	NNG
전주 여행	322	여수	NNG
전주 여행	322	여수	NNG
전주 여행	322	제주	NNP
전주 여행	322	제주도	NNP
전주 여행	322	전문	NNG
전주 여행	322	언서	NNG
전주 여행	322	주달	NNG
전주 여행	322	봉이	NNG
전주 여행	322	입니다	VCP+EF
전주 여행	322	대중교통	NNG
전주 여행	322	이나	JC
전주 여행	322	택시	NNG
전주 여행	322	이용	NNG
전주 여행	323	완주	NNG
전주 여행	323	맛집	NNG
전주 여행	323	국내	NNG
전주 여행	323	주달	NNG
전주 여행	323	티비	NNG
전주 여행	323	코스	NNG
전주 여행	323	여수	NNG
전주 여행	323	여수	NNG
전주 여행	323	제주	NNP
전주 여행	323	제주도	NNP
전주 여행	323	전문	NNG
전주 여행	323	언서	NNG
전주 여행	323	주달	NNG
전주 여행	323	봉이	NNG
전주 여행	323	입니다	VCP+EF
전주 여행	323	완주	NNP
전주 여행	323	어느	MM
전주 여행	323	느냐	EC
전주 여행	323	따라	VV+EC
전주 여행	324	부탁	NNG
전주 여행	324	드립니다	VV+EC
전주 여행	324	맛집	NNG
전주 여행	324	국내	NNG
전주 여행	324	주달	NNG
전주 여행	324	티비	NNG
전주 여행	324	코스	NNG
전주 여행	324	여수	NNG
전주 여행	324	여수	NNG
전주 여행	324	제주	NNP
전주 여행	324	제주도	NNP
전주 여행	324	전문	NNG
전주 여행	324	언서	NNG
전주 여행	324	주달	NNG
전주 여행	324	봉이	NNG
전주 여행	324	입니다	VCP+EF
전주 여행	324	코스	NNG
전주 여행	325	코스	NNG
전주 여행	325	세요	EP+EF
전주 여행	325	ㅜㅜ	UNKNOWN
전주 여행	325	코스	NNG
전주 여행	325	드릴	VX+ETM
전주 여행	325	습니다	EF
전주 여행	325	역사	NNG
전주 여행	325	유적지	NNG
전주 여행	325	전통문화	NNG
전주 여행	325	빛나	VV
전주 여행	325	으로	JKB
전주 여행	325	유명	XR
전주 여행	325	한데요	XSA+EF
전주 여행	325	먼저	MAG
전주 여행	325	한옥마을	NNP
전주 여행	325	방문	NNG
전주 여행	325	아름다움	VA+ETN
전주 여행	325	느낄	VV+ETM
전주 여행	325	습니다	EF
전주 여행	325	시작	NNG
전주 여행	325	라고	EC
전주 여행	325	한옥	NNG
전주 여행	325	마을	NNG
전주 여행	325	에서	JKB
전주 여행	326	대중교통	NNG
전주 여행	326	이랑	JC
전주 여행	326	렌트카	NNG
전주 여행	326	어떤	MM
전주 여행	326	을까요	EF
전주 여행	326	움직이	VV
전주 여행	326	편할지	VA+EC
전주 여행	326	대중교통	NNG
전주 여행	326	편할지	VA+EC
전주 여행	326	알려	VV+EC
전주 여행	326	세요	EP+EF
전주 여행	326	교통	NNG
전주 여행	326	상황	NNG
전주 여행	326	어떤지	VA+EC
전주 여행	326	궁금	XR
전주 여행	326	합니다	XSA+EF
전주 여행	326	맛집	NNG
전주 여행	326	국내	NNG
전주 여행	326	주달	NNG
전주 여행	326	티비	NNG
전주 여행	326	코스	NNG
전주 여행	326	여수	NNG
전주 여행	326	여수	NNG
전주 여행	326	제주	NNP
전주 여행	327	가시	VV
전주 여행	327	는군요	EC
전주 여행	327	그렇	VA
전주 여행	327	다면	EC
전주 여행	327	에서	JKB
전주 여행	327	연인	NNG
전주 여행	327	제일	MAG
전주 여행	327	많이	MAG
전주 여행	327	추천	NNG
전주 여행	327	드리	VX
전주 여행	327	습니다	EF
전주 여행	327	한옥마을	NNP
전주 여행	327	동물원	NNP
전주 여행	327	한국도로공사	NNP
전주 여행	327	수목원	NNG
전주 여행	327	향교	NNP
전주 여행	327	덕진	NNP
전주 여행	327	공원	NNG
전주 여행	328	관련	NNG
전주 여행	328	맛집	NNG
전주 여행	328	국내	NNG
전주 여행	328	주달	NNG
전주 여행	328	티비	NNG
전주 여행	328	코스	NNG
전주 여행	328	여수	NNG
전주 여행	328	여수	NNG
전주 여행	328	제주	NNP
전주 여행	328	제주도	NNP
전주 여행	328	전문	NNG
전주 여행	328	언서	NNG
전주 여행	328	주달	NNG
전주 여행	328	봉이	NNG
전주 여행	328	입니다	VCP+EF
전주 여행	328	주말	NNG
전주 여행	328	인지	VCP+EC
전주 여행	328	평일	NNG
전주 여행	328	인지	VCP+EC
전주 여행	328	따라	VV+EC
전주 여행	328	다릅니다	VA+EC
전주 여행	329	려고	EC
전주 여행	329	vs	SL
전주 여행	329	어떤	MM
전주 여행	329	적당	XR
전주 여행	329	할지	XSA+EC
전주 여행	329	추천	NNG
전주 여행	329	세요	EP+EF
전주 여행	329	맛집	NNG
전주 여행	329	국내	NNG
전주 여행	329	주달	NNG
전주 여행	329	티비	NNG
전주 여행	329	코스	NNG
전주 여행	329	여수	NNG
전주 여행	329	여수	NNG
전주 여행	329	제주	NNP
전주 여행	329	제주도	NNP
전주 여행	329	전문	NNG
전주 여행	329	언서	NNG
전주 여행	329	주달	NNG
전주 여행	329	봉이	NNG
전주 여행	329	입니다	VCP+EC
전주 여행	330	이번	NNG
전주 여행	330	처음	MAG
전주 여행	330	는데	EC
전주 여행	330	추천	NNG
전주 여행	330	세요	EP+EF
전주 여행	330	은데	EC
전주 여행	330	위주	NNG
전주 여행	330	해요	VX+EF
전주 여행	330	트레	NNP
전주 여행	330	해요	VX+EF
전주 여행	330	계획	NNG
전주 여행	330	군요	EF
전주 여행	330	다양	XR
전주 여행	330	볼거리	NNG
전주 여행	331	경비	NNG
전주 여행	331	식비	NNG
전주 여행	331	교통비	NNG
전주 여행	331	잡혀서	VV+EC
전주 여행	331	마실	VV+ETM
전주 여행	331	건데	NNB+VCP+EC
전주 여행	331	많이	MAG
전주 여행	331	마셔서	VV+EC
전주 여행	331	술값	NNG
전주 여행	331	으로	JKB
전주 여행	331	마실	VV+ETM
전주 여행	331	아요	EF
전주 여행	331	맛집	NNG
전주 여행	331	국내	NNG
전주 여행	331	주달	NNG
전주 여행	331	티비	NNG
전주 여행	331	코스	NNG
전주 여행	331	여수	NNG
전주 여행	331	여수	NNG
전주 여행	332	비용	NNG
전주 여행	332	맛집	NNG
전주 여행	332	국내	NNG
전주 여행	332	주달	NNG
전주 여행	332	티비	NNG
전주 여행	332	코스	NNG
전주 여행	332	여수	NNG
전주 여행	332	여수	NNG
전주 여행	332	제주	NNP
전주 여행	332	제주도	NNP
전주 여행	332	전문	NNG
전주 여행	332	언서	NNG
전주 여행	332	주달	NNG
전주 여행	332	봉이	NNG
전주 여행	332	입니다	VCP+EF
전주 여행	332	한옥마을	NNP
전주 여행	332	입장료	NNG
전주 여행	332	따로	MAG
전주 여행	332	습니다	EF
전주 여행	332	기본	NNG
전주 여행	333	친구	NNG
전주 여행	333	친구	NNG
전주 여행	333	려고	EC
전주 여행	333	합니다	VX+EC
전주 여행	333	호텔	NNG
전주 여행	333	맛집	NNG
전주 여행	333	추천	NNG
전주 여행	333	세요	EP+EF
전주 여행	333	호텔	NNG
전주 여행	333	시설	NNG
전주 여행	333	괜찮	VA
전주 여행	333	깨끗	XR
전주 여행	333	했으면	XSA+EP+EC
전주 여행	333	어요	EF
전주 여행	333	한옥	NNP
전주 여행	333	어도	EC
전주 여행	333	괜찮	VA
전주 여행	333	아요	EF
전주 여행	333	침대	NNG
전주 여행	333	어요	EF
전주 여행	333	맛집	NNG
전주 여행	333	양식	NNG
전주 여행	333	중식	NNG
전주 여행	333	일식	NNG
전주 여행	333	상관없	VA
전주 여행	333	습니다	EF
전주 여행	333	비용	NNG
전주 여행	333	인당	NNG
전주 여행	334	크리스마스	NNG
전주 여행	334	맛집	NNG
전주 여행	334	국내	NNG
전주 여행	334	주달	NNG
전주 여행	334	티비	NNG
전주 여행	334	코스	NNG
전주 여행	334	여수	NNG
전주 여행	334	여수	NNG
전주 여행	334	제주	NNP
전주 여행	334	제주도	NNP
전주 여행	334	전문	NNG
전주 여행	334	언서	NNG
전주 여행	334	주달	NNG
전주 여행	334	봉이	NNG
전주 여행	334	입니다	VCP+EF
전주 여행	334	코스	NNG
전주 여행	334	한옥	NNG
전주 여행	334	마을	NNG
전주 여행	334	에서부터	JKB
전주 여행	334	시작	NNG
전주 여행	335	~.~	SY
전주 여행	335	질문	NNG
전주 여행	335	일정	NNG
전주 여행	335	관련	NNG
전주 여행	335	답변	NNG
전주 여행	335	드리	VV
전주 여행	335	도록	EC
전주 여행	335	습니다	EF
전주 여행	335	가실	NNG
전주 여행	335	계획	NNG
전주 여행	335	너무	MAG
전주 여행	335	귀찮	VA
전주 여행	335	에서	JKB
전주 여행	335	즐길	VV+ETM
전주 여행	335	준비	NNG
전주 여행	335	어요	EF
전주 여행	335	아래	NNG
전주 여행	335	일정	NNG
전주 여행	335	참고	NNG
전주 여행	335	즐거운	VA+ETM
전주 여행	335	바라	VV
전주 여행	336	초등	NNG
전주 여행	336	학년	NNG
전주 여행	336	210	SN
전주 여행	336	수학	NNG
전주 여행	336	코스	NNG
전주 여행	336	관광	NNG
전주 여행	336	달인	NNG
전주 여행	336	주달	NNG
전주 여행	336	봉이	NNG
전주 여행	336	께서	JKS
전주 여행	336	코스	NNG
전주 여행	336	추천	NNG
전주 여행	336	대단히	MAG
전주 여행	336	감사	NNG
전주 여행	336	드리	VV
전주 여행	336	습니다	EF
전주 여행	336	맛집	NNG
전주 여행	336	국내	NNG
전주 여행	336	주달	NNG
전주 여행	336	티비	NNG
전주 여행	336	코스	NNG
전주 여행	336	여수	NNG
전주 여행	336	여수	NNG
전주 여행	336	제주	NNP
전주 여행	337	혼자	NNG
전주 여행	337	코스	NNG
전주 여행	337	질문	NNG
전주 여행	337	정보	NNG
전주 여행	337	정리	NNG
전주 여행	337	습니다	EF
전주 여행	337	참고	NNG
전주 여행	337	세요	EP+EF
전주 여행	337	에서	JKB
전주 여행	337	덕진	NNP
전주 여행	337	공원	NNG
전주 여행	337	추천	NNP
전주 여행	337	덕진	NNP
전주 여행	337	공원	NNG
전주 여행	337	터미널	NNG
전주 여행	337	에서	JKB
전주 여행	337	가장	MAG
전주 여행	337	가까운	VA+ETM
전주 여행	337	에요	EF
전주 여행	337	산책	NNG
전주 여행	337	호수	NNG
전주 여행	337	공원	NNG
전주 여행	337	에요	EF
전주 여행	337	덕진	NNP
전주 여행	337	공원	NNG
전주 여행	337	생략	NNG
전주 여행	337	곧바로	MAG
전주 여행	337	남부	NNG
전주 여행	337	시장	NNG
전주 여행	338	전시회	NNG
전주 여행	338	추천	NNG
전주 여행	338	이번	NNG
전주 여행	338	남자	NNG
전주 여행	338	친구	NNG
전주 여행	338	는데요	EC
전주 여행	338	한옥마을	NNP
전주 여행	338	그래서	MAJ
전주 여행	338	갈만	NNG
전주 여행	338	공방	NNG
전주 여행	338	전시회	NNG
전주 여행	338	추천	NNG
전주 여행	338	부탁	NNG
전주 여행	338	드려요	VV+EC
전주 여행	338	안녕	NNG
전주 여행	338	세요	EP+EF
전주 여행	338	질문	NNG
전주 여행	338	관련	NNG
전주 여행	338	답변	NNG
전주 여행	338	드리	VV
전주 여행	338	도록	EC
전주 여행	338	습니다	EF
전주 여행	338	주로	MAG
전주 여행	338	봅니다	VX+EC
전주 여행	339	코스	NNG
전주 여행	339	추천	NNG
전주 여행	339	안녕	NNG
전주 여행	339	세요	EP+EF
전주 여행	339	여자	NNG
전주 여행	339	친구	NNG
전주 여행	339	예정	NNG
전주 여행	339	인데	VCP+EC
전주 여행	339	숙소	NNG
전주 여행	339	더클래식	NNP
전주 여행	339	호텔	NNG
전주 여행	339	일정	NNG
전주 여행	339	으로	JKB
전주 여행	339	습니다	EF
전주 여행	339	근데	MAJ
전주 여행	339	금요일	NNG
전주 여행	339	오후	NNG
전주 여행	339	도착	NNG
전주 여행	339	예정	NNG
전주 여행	339	이동	NNG
전주 여행	339	수단	NNG
전주 여행	339	대중교통	NNG
전주 여행	339	택시	NNG
전주 여행	339	예정	NNG
전주 여행	339	입니다	VCP+EC
전주 여행	340	각각	MAG
전주 여행	340	거리	NNG
전주 여행	340	가까운지	VA+EC
전주 여행	340	어요	EF
전주 여행	340	추석	NNG
전주 여행	340	예정	NNG
전주 여행	340	입니다	VCP+EF
전주 여행	340	갈만	NNG
전주 여행	340	추천	NNG
전주 여행	340	세요	EP+EF
전주 여행	340	맛집	NNG
전주 여행	340	국내	NNG
전주 여행	340	주달	NNG
전주 여행	340	티비	NNG
전주 여행	340	코스	NNG
전주 여행	340	여수	NNG
전주 여행	340	여수	NNG
전주 여행	340	제주	NNP
전주 여행	341	갈만	NNG
전주 여행	341	을까요	EF
전주 여행	341	맛집	NNG
전주 여행	341	국내	NNG
전주 여행	341	주달	NNG
전주 여행	341	티비	NNG
전주 여행	341	코스	NNG
전주 여행	341	여수	NNG
전주 여행	341	여수	NNG
전주 여행	341	제주	NNP
전주 여행	341	제주도	NNP
전주 여행	341	전문	NNG
전주 여행	341	언서	NNG
전주 여행	341	주달	NNG
전주 여행	341	봉이	NNG
전주 여행	341	입니다	VCP+EF
전주 여행	341	코스	NNG
전주 여행	341	한옥	NNG
전주 여행	341	마을	NNG
전주 여행	341	에서부터	JKB
전주 여행	342	코스	NNG
전주 여행	342	일정	NNG
전주 여행	342	문자	NNG
전주 여행	342	께서	JKS
전주 여행	342	봐둔	VV+EC+VX+ETM
전주 여행	342	모두	MAG
전주 여행	342	반양	NNG
전주 여행	342	시간	NNG
전주 여행	342	무리	NNG
전주 여행	342	일정	NNG
전주 여행	342	만들	VV
전주 여행	342	습니다	EF
전주 여행	342	가운데	NNG
전주 여행	342	점심	NNG
전주 여행	342	한지	XSA+EC
전주 여행	342	박물관	NNG
전주 여행	342	관광	NNG
전주 여행	342	수목원	NNG
전주 여행	342	관광	NNG
전주 여행	342	오목	MAG
전주 여행	342	관광	NNG
전주 여행	342	교동	NNP
전주 여행	342	다윈	NNP
전주 여행	343	추천	NNG
전주 여행	343	부탁	NNG
전주 여행	343	드립니다	VV+EC
전주 여행	343	12	SN
전주 여행	343	13	SN
